country_en,country_pcode,region_en,region_pcode,district_en,district_pcode,female_pop,male_pop,total_pop
Ghana,GH,Greater Accra,GH07,Ablekuma Central Municipal,GH0701,86551,82594,169145
Ghana,GH,Greater Accra,GH07,Ablekuma North Municipal,GH0702,82426,76782,159208
Ghana,GH,Greater Accra,GH07,Ablekuma West Municipal,GH0703,79611,73879,153490
Ghana,GH,Eastern,GH06,Abuakwa North,GH0601,46923,44374,91297
Ghana,GH,Eastern,GH06,Abuakwa South,GH0602,37407,36542,73949
Ghana,GH,Central,GH05,Abura-Asebu-Kwamankese,GH0501,64821,59644,124465
Ghana,GH,Greater Accra,GH07,Accra Metropolis,GH0704,150079,134045,284124
Ghana,GH,Eastern,GH06,Achiase,GH0603,28936,27412,56348
Ghana,GH,Greater Accra,GH07,Ada East,GH0705,39377,37034,76411
Ghana,GH,Greater Accra,GH07,Ada West,GH0706,38955,37132,76087
Ghana,GH,Volta,GH14,Adaklu,GH1401,19686,18963,38649
Ghana,GH,Ashanti,GH02,Adansi Akrofuom,GH0201,22976,26315,49291
Ghana,GH,Ashanti,GH02,Adansi Asokwa,GH0202,35900,35944,71844
Ghana,GH,Ashanti,GH02,Adansi North,GH0203,27373,26782,54155
Ghana,GH,Ashanti,GH02,Adansi South,GH0204,42648,42552,85200
Ghana,GH,Greater Accra,GH07,Adenta Municipal,GH0707,119705,117841,237546
Ghana,GH,Volta,GH14,Afadzato South,GH1402,37065,36081,73146
Ghana,GH,Ashanti,GH02,Afigya Kwabre North,GH0205,36722,36608,73330
Ghana,GH,Ashanti,GH02,Afigya Kwabre South,GH0206,119600,115067,234667
Ghana,GH,Central,GH05,Agona East,GH0502,50974,47350,98324
Ghana,GH,Central,GH05,Agona West Municipal,GH0503,71380,65502,136882
Ghana,GH,Volta,GH14,Agotime Ziope,GH1403,20762,18791,39553
Ghana,GH,Ashanti,GH02,Ahafo Ano North,GH0207,45989,46753,92742
Ghana,GH,Ashanti,GH02,Ahafo Ano South East,GH0208,31397,32071,63468
Ghana,GH,Ashanti,GH02,Ahafo Ano South West,GH0209,32129,33641,65770
Ghana,GH,Western,GH15,Ahanta West Municipal,GH1501,77921,75219,153140
Ghana,GH,Central,GH05,Ajumako-Enyan-Essiam,GH0504,63325,57261,120586
Ghana,GH,Volta,GH14,Akatsi North,GH1404,17395,15146,32541
Ghana,GH,Volta,GH14,Akatsi South,GH1405,49432,43062,92494
Ghana,GH,Eastern,GH06,Akwapem North,GH0604,55769,49546,105315
Ghana,GH,Eastern,GH06,Akwapem South,GH0605,39821,37101,76922
Ghana,GH,Eastern,GH06,Akyem Mansa,GH0606,45772,45266,91038
Ghana,GH,Ashanti,GH02,Amansie Central,GH0210,44659,48393,93052
Ghana,GH,Ashanti,GH02,Amansie South,GH0211,54906,61460,116366
Ghana,GH,Ashanti,GH02,Amansie West,GH0212,53368,56048,109416
Ghana,GH,Volta,GH14,Anloga,GH1406,50186,44709,94895
Ghana,GH,Western North,GH16,Aowin,GH1601,61485,68236,129721
Ghana,GH,Ashanti,GH02,Asante Akim Central Municipal,GH0213,47166,44507,91673
Ghana,GH,Ashanti,GH02,Asante Akim North,GH0214,43788,42000,85788
Ghana,GH,Ashanti,GH02,Asante Akim South,GH0215,61918,61715,123633
Ghana,GH,Eastern,GH06,Asene Akroso Manso,GH0607,39690,37808,77498
Ghana,GH,Greater Accra,GH07,Ashaiman Municipal,GH0708,104650,103410,208060
Ghana,GH,Central,GH05,Asikuma-Odoben-Brakwa,GH0505,65170,61823,126993
Ghana,GH,Ashanti,GH02,Asokore Mampong Municipal,GH0216,97896,93506,191402
Ghana,GH,Ashanti,GH02,Asokwa  Municipal,GH0217,64642,61000,125642
Ghana,GH,Central,GH05,Assin Fosu,GH0506,45204,43549,88753
Ghana,GH,Central,GH05,Assin North,GH0507,40070,40469,80539
Ghana,GH,Central,GH05,Assin South,GH0508,53912,52083,105995
Ghana,GH,Ahafo,GH01,Asunafo North Municipal,GH0101,73852,76346,150198
Ghana,GH,Ahafo,GH01,Asunafo South,GH0102,44737,46956,91693
Ghana,GH,Eastern,GH06,Asuogyaman,GH0608,52533,48723,101256
Ghana,GH,Ahafo,GH01,Asutifi North,GH0103,35893,37663,73556
Ghana,GH,Ahafo,GH01,Asutifi South,GH0104,33462,34932,68394
Ghana,GH,Bono East,GH04,Atebubu Amantin,GH0401,71954,72993,144947
Ghana,GH,Eastern,GH06,Atiwa East,GH0609,31976,32671,64647
Ghana,GH,Eastern,GH06,Atiwa West,GH0610,29931,31288,61219
Ghana,GH,Ashanti,GH02,Atwima Kwanwoma,GH0218,120723,114123,234846
Ghana,GH,Ashanti,GH02,Atwima Mponua,GH0219,75019,80235,155254
Ghana,GH,Ashanti,GH02,Atwima Nwabiagya North,GH0220,78148,76877,155025
Ghana,GH,Ashanti,GH02,Atwima Nwabiagya South,GH0221,83559,78334,161893
Ghana,GH,Central,GH05,Awutu Senya,GH0509,83241,78219,161460
Ghana,GH,Central,GH05,Awutu Senya East,GH0510,120997,115530,236527
Ghana,GH,Greater Accra,GH07,Ayawaso Central Municipal,GH0709,48343,46488,94831
Ghana,GH,Greater Accra,GH07,Ayawaso East Municipal,GH0710,27566,25438,53004
Ghana,GH,Greater Accra,GH07,Ayawaso North Municipal,GH0711,33343,30043,63386
Ghana,GH,Greater Accra,GH07,Ayawaso West,GH0712,36689,38614,75303
Ghana,GH,Eastern,GH06,Ayensuano,GH0611,47433,47161,94594
Ghana,GH,Bono,GH03,Banda,GH0301,13366,14813,28179
Ghana,GH,Upper East,GH12,Bawku Municipal,GH1201,61429,58029,119458
Ghana,GH,Upper East,GH12,Bawku West,GH1202,73408,70781,144189
Ghana,GH,Ashanti,GH02,Bekwai Municipal,GH0222,71351,66616,137967
Ghana,GH,Bono,GH03,Berekum East Municipal,GH0302,56089,50163,106252
Ghana,GH,Bono,GH03,Berekum West,GH0303,25871,23593,49464
Ghana,GH,Western North,GH16,Bia East,GH1602,24919,28154,53073
Ghana,GH,Western North,GH16,Bia West,GH1603,55926,59955,115881
Ghana,GH,Oti,GH10,Biakoye,GH1001,35758,36069,71827
Ghana,GH,Western North,GH16,Bibiani-Anhwiaso-Bekwai Municipal,GH1604,85173,82798,167971
Ghana,GH,Upper East,GH12,Binduri,GH1203,39688,36991,76679
Ghana,GH,Eastern,GH06,Birim Central Municipal,GH0612,39828,36474,76302
Ghana,GH,Eastern,GH06,Birim North,GH0613,41326,41343,82669
Ghana,GH,Eastern,GH06,Birim South,GH0614,18234,17420,35654
Ghana,GH,Western North,GH16,Bodi,GH1605,32095,33653,65748
Ghana,GH,Savannah,GH11,Bole,GH1101,55897,59903,115800
Ghana,GH,Upper East,GH12,Bolga  East,GH1204,19988,18836,38824
Ghana,GH,Upper East,GH12,Bolgatanga Municipal,GH1205,73257,66607,139864
Ghana,GH,Upper East,GH12,Bongo,GH1206,63334,56920,120254
Ghana,GH,Ashanti,GH02,Bosome Freho,GH0223,30832,31427,62259
Ghana,GH,Ashanti,GH02,Bosomtwe,GH0224,84752,80428,165180
Ghana,GH,Upper East,GH12,Builsa North,GH1207,28239,28332,56571
Ghana,GH,Upper East,GH12,Builsa South,GH1208,18247,18328,36575
Ghana,GH,Northern East,GH09,Bunkpurugu Nakpanduri,GH0901,41980,40404,82384
